stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.0063112751727953,1999.99999999998,1000,0.192625,15.0830825416667,-7.96447644636357,2,0.589837936588899,-0.20069532043376,-0.261697955994602,-0.263190263403808,0.562981172547168,0.207220110943336,0.200384063976503,0.509268990839937,0.260937494114183,0.240112770921957,0.50187624061099,-0.0124949466963804,0.0100308896198933,0.488191140126229,0.52064209997787,0.523445110209966,-0.210722839776161,-0.0942922034281297,0.350264683196748,0.301040193283948,0.392317082572421,2.52845377605399,0.432795314898277,-0.074959650015644,-0.034469584222207,0.000304116535355594,0.000176630631748293,-0.0014784247625519,0.680050907084801,0.141274891049086,0.277947814570812,0.46755701557136,0.0473751955096089,0.275919438900907,0.0479278046204033,0.175766195567181,0.0463065284321627,0.375962331832663,0.0466822506325962,0.280827986077638,0.0468933815527889,0.140583525319257,0.548364914897469,0.910575722191414,0.177256236499218,0.235455134433187,0.279535469242409,0.457005447238198,0.183540934720845,0.3,1.66981489646502,1.7240519315986,1.67091126680099,1.73995064826939,1.73917587586872,3.20032420419047,3.62528238777333,3.44211799599967,3.6357805400065,3.5514897204167,3.89495085083462,3.41459249420734,3.65906452679829,3.25304167922676,3.29472889017364,3.46825895317111,3.52686048437558,0.985320561051667,0.926097049786634,0.950622237017062,0.908877357823977,0.935476295709704,0.893240537240641,0.70646140584601,0.689031613204655,0.663754169666556,0.71890616648417,0.64442118894835,0.703993290210058
2,0.0141156930907343,1999.99999999998,1000,0.312625,12.6775756666667,-8.91583560487222,2,0.578595070519171,-0.205949354335221,-0.280509323444667,-0.280737430280676,0.608178922153365,0.174106021719187,0.150633724413178,0.533482443205282,0.257842126640544,0.195116491592995,0.493146692350293,-0.0159863592179015,0.00451302881923713,0.476013970525767,0.547730249569267,0.538388193858313,-0.160679154857764,-0.0840968987712365,0.348353027513301,0.295599058162715,0.380144024628966,2.5253849726552,0.396844101058163,-0.0741175227253133,-0.0309164981916735,0.000124790834352606,0.0026974885246591,0.000173041046298978,0.629837846210891,0.14555686467086,0.271686778766228,0.461556774350782,0.0476743523570044,0.26665333281812,0.0473541233257669,0.164932943172284,0.0461551077526366,0.38050247498529,0.046522275410747,0.277521479008066,0.046523147213214,0.1365713280898,0.528770667401562,0.893835565223898,0.164460230909984,0.226393869401569,0.270306443180562,0.441340098893163,0.175867230006556,0.3,1.59181921341231,1.77389066166167,1.53871629076096,1.72153521014926,1.68977669134402,3.16375971290611,3.81002910022213,3.55638263508282,3.75088350507604,3.58635418320168,4.42262804870097,3.38579055238755,3.84996781962067,3.26910908831116,3.23949862930022,3.40174658852246,3.7337044539297,1.01197623977533,0.980451068906879,0.957231089169178,0.916985481073401,0.947566382918487,0.852350048119046,0.691949526389959,0.698058234097908,0.675915247778822,0.721038447136456,0.661775371261486,0.693173190513269
3,0.0235654883516486,1999.99999999998,1000,0.347125,12.531325,-9.88051522254696,2,0.593187125681767,-0.201011651990506,-0.364158252817754,-0.354258482022546,0.660650604440779,0.155340607852337,0.109627586845433,0.598505088982093,0.308924380770862,0.129644529829717,0.470696709015587,-0.0332673497922975,0.00559825597009331,0.446587597972428,0.568710543028451,0.533391137558799,-0.0835494713605757,-0.0831660234335902,0.346946389417539,0.28023871054735,0.364319249002079,2.53572763033355,0.391130917206431,-0.0778793154927671,-0.026990703938209,0.00367446428802899,0.00733669649560386,0.00332395107115645,0.582792139235639,0.149073059128176,0.26514865703526,0.467649643707044,0.0486050089772075,0.250770896665178,0.0451623025824913,0.158265808856651,0.0454394410545945,0.385985350155879,0.0461932432291741,0.275544609303725,0.046345081555327,0.125711919627027,0.511877723804223,0.937208082814729,0.155173743540157,0.211066865634933,0.2541638436884,0.409350162345459,0.170483325441799,0.3,1.50934593345561,1.90234375575645,1.34220406635422,1.66882259938923,1.55718579145476,3.07933432566993,4.00358877582271,3.86985949371238,3.64064156513617,3.56699456201023,4.96015671832083,3.18651310845557,4.1602783041638,3.35025412527336,3.27854046852228,3.09645438699589,3.9267174488827,1.0006447521096,1.06985969366075,0.934111994298331,0.955649315840859,0.983141210299362,0.821270548687624,0.722875665967686,0.684665381795772,0.760696097770143,0.757674821871783,0.738899144769483,0.651578236413936
4,0.0363658251671233,1999.99999999998,1000,0.4215,12.4064715833333,-12.2833977414636,2,0.620620436471415,-0.195583229891227,-0.492294085844582,-0.450670782284177,0.719878293331265,0.155534429959679,0.0847546400383477,0.67248744293456,0.427930577850383,0.0738661983580715,0.424002674481253,-0.0553121182404337,0.00663770323331911,0.423248820935888,0.553892098275903,0.52159892450459,0.0154205315014638,-0.0970015488600948,0.344543371460155,0.261456558771654,0.35460381102353,2.5504397715996,0.39944203453997,-0.0840863013498446,-0.0232061311284504,0.00736989886674887,0.00987032560474039,0.00647024275159355,0.544234054591035,0.145599534771845,0.263698624046863,0.475809922055967,0.0488279954070228,0.230506841888067,0.0424242959119835,0.154551774714808,0.0452846120376735,0.384485567963936,0.0453952231585136,0.27135434335081,0.0467554347594955,0.112936912433652,0.492579037258352,1.0060866172232,0.150964603238664,0.195654894212602,0.238604537375011,0.382965848227479,0.166137007136048,0.3,1.42668120471163,2.05097582087612,1.14835332669902,1.63782511860768,1.39569648107409,2.97072700096279,4.0360197884475,4.17086894288181,3.26162021420118,3.40054783800109,5.33568816424634,2.91377908747858,4.62176522768156,3.48189064393464,3.40412045270771,2.68905237148365,4.27630832404932,0.98448373862309,1.16688100230415,0.881387744065366,1.01346001896082,1.05781057593783,0.791552882997717,0.772408960912047,0.632590108348648,0.867139463067977,0.816313018903554,0.855067004005254,0.602374127374442
5,0.053216499040178,1999.99999999998,1000,0.408875,11.6076440416667,-15.0167536815361,2,0.640744921802424,-0.18968594196426,-0.555054634320036,-0.488544372064338,0.77992755335697,0.146062516407613,0.062843660250489,0.70869840948654,0.511795538379947,0.0626244526837684,0.366986674305989,-0.0553177638050517,0.00154821120239815,0.418917079090077,0.524834008325889,0.505957513432676,0.0986128802197653,-0.111527552295632,0.342594644114066,0.251870651743239,0.355606648212834,2.55391973462066,0.382128696319562,-0.0849409418845605,-0.0206797758561601,0.00800546000379231,0.01083621372633,0.00899446179140581,0.520010264600682,0.138141104000479,0.263845400862215,0.478978780250823,0.0483533974046926,0.217503173070897,0.0406210739399412,0.151702132810962,0.0448876424157062,0.376080432987995,0.044370929585593,0.269189373116903,0.0471888909708286,0.103753594166373,0.483770510265461,1.02478585754656,0.148694825237876,0.187999663156661,0.228209334598067,0.368572920249887,0.163856847732973,0.3,1.35257995468925,2.16946536014113,1.06757161280263,1.65308101442842,1.31262994117659,2.74913161224699,3.90984018954806,4.16648410285367,2.92781571992533,3.29958563873816,5.75006452741494,2.66873272547283,4.87166209250683,3.49316779889944,3.40594397973372,2.49104641396497,4.39627481733058,0.985512603926323,1.20189564186247,0.827994609400141,1.02957505059043,1.1349569189383,0.754550954329026,0.78294589556147,0.5343997250819,0.8931478485383,0.86860527342495,0.938835858062866,0.576286010169845
6,0.0732760353679728,1999.99999999998,1000,0.339875,12.8068063333333,-16.7865492636648,2,0.645615378230173,-0.187732411999631,-0.53149502119267,-0.453639024757831,0.817066432244326,0.116695863020992,0.0452821733471824,0.725256374401278,0.508843999076001,0.0876482987063522,0.34652272110106,-0.0241255776759514,0.00448002965890177,0.439353738947679,0.528571680360143,0.506915887294421,0.154273662033664,-0.117049540601503,0.337806339273789,0.253381124005895,0.356944831457876,2.53388240448648,0.3553000100659,-0.0826331163445244,-0.0187979595155527,0.00719218178547719,0.0110467642413533,0.00951780157898938,0.509147604181358,0.130766383119466,0.264276573078698,0.477411185446264,0.0475581812842221,0.216481809545929,0.0400496685106537,0.146639307341219,0.044380577462842,0.365544066230695,0.0439558394577455,0.265468499523458,0.0476866400735658,0.100684850961338,0.486792483109401,0.985360764279051,0.14432111946508,0.185211328002209,0.224396787821645,0.36647573868675,0.157861284553511,0.3,1.33389912297164,2.23632114592756,1.04698975869145,1.69747156068761,1.31302029013509,2.65288575912747,3.87560806587619,3.99519754147581,2.77001529800818,3.25592622887043,5.90575727394641,2.62049709088659,4.78271720142583,3.50639803676991,3.19691411499111,2.3731031750605,4.32033344701657,0.9985678262726,1.17176468261037,0.811008813508004,1.02961932398865,1.14654058532453,0.717673588221524,0.750858780485154,0.459433911384641,0.879475760806589,0.894237256391283,0.95058511123933,0.591793453565888
7,0.0954850044424836,1999.99999999998,1000,0.323625,11.0893720833333,-17.5990879551411,2,0.635856524295576,-0.187752943746122,-0.47167467404995,-0.406483168782363,0.840213112402684,0.0823667419954945,0.0242800021855507,0.72726438216078,0.464287108009199,0.111564507626016,0.351104354400562,0.00184626011301584,0.0179229885420973,0.462057914195564,0.556441069969719,0.516117763663153,0.181403420209997,-0.117777483260153,0.33201439333497,0.250415467249625,0.357311712899849,2.4985239123894,0.31984525401515,-0.0811414871719904,-0.0172140380071896,0.00685116115029095,0.0121237295211781,0.00920616121219011,0.502788372214822,0.126505805009897,0.26356699829205,0.479041573507105,0.0472009607629606,0.217802238533334,0.0405041944605366,0.141685385259479,0.0440961784850571,0.356297800784593,0.0439926521918131,0.260715650317734,0.0480748384916089,0.0995011093392581,0.488866016827184,0.915869398580935,0.139526807251054,0.18412643316416,0.222059873395967,0.368507672990576,0.151716081351382,0.3,1.3258455848452,2.25613907011481,1.04091187137244,1.70289182886786,1.33438611650786,2.62083687821841,3.825601967607,3.86510250348684,2.72726536398517,3.15083633247073,5.81494573636211,2.57403055012049,4.58061133989795,3.44432505840327,3.03665238257929,2.32117859180511,4.28884200482774,1.01714617691306,1.12147008921684,0.804204949944984,1.03555247396607,1.13724292757663,0.715855728550974,0.71158807254207,0.404221917497458,0.858821258030665,0.910736995926404,0.924739514557453,0.622107959916202
8,0.120874236852605,1999.99999999998,1000,0.316,11.993913875,-19.0936817743797,2,0.6199886663874,-0.191911715411997,-0.408940275658107,-0.357451857498504,0.857032724505405,0.0664308604609727,0.0116972546946338,0.719810694392655,0.406488419215616,0.140947761767555,0.362815595304885,0.021994715716473,0.0214740004627856,0.481930564609984,0.595285693095058,0.538405868537168,0.173071646150961,-0.115933727754201,0.328573300936451,0.249240063394684,0.355833817547915,2.45098785915058,0.282210938740664,-0.0799849739284794,-0.0161731428463277,0.00735883110159438,0.0143936156644204,0.00954007237399515,0.498242949238295,0.123251905526498,0.259614241617095,0.471348114888071,0.048070006937916,0.218132326336496,0.0412744359029942,0.13563331998123,0.0450926457687061,0.346006076454176,0.0439716283628964,0.257316508167171,0.0479524872132719,0.101514725784893,0.486225586429776,0.853639823911398,0.131897429319049,0.183807622688006,0.222872887682514,0.373772485629168,0.146728928639993,0.3,1.35120416920777,2.19502138211854,1.06153182747473,1.72639634636433,1.36203387990561,2.64643321548129,3.84733468009677,3.87015693253438,2.74921233518215,2.93524140600047,5.58675433317816,2.47608024979895,4.35263810607788,3.34239579060155,2.95743217125438,2.32559865198028,4.26174638252356,1.03001532532526,1.08767219915305,0.771704897959382,1.05082383352936,1.12312734560676,0.712607283431265,0.702370015262648,0.371487187924949,0.837675356950038,0.940118248415377,0.88310129155814,0.645385190157145
9,0.148928625817051,1999.99999999998,1000,0.312625,10.941698,-20.0992039777234,2,0.608194236404005,-0.196274275829848,-0.344817338193569,-0.314176633986252,0.860275417901925,0.049714886278017,0.0107425492969066,0.696807678519465,0.350715617477938,0.164197025744359,0.363142776119808,0.0225356393438255,0.0129151567844173,0.498483614228893,0.625479640865008,0.575062374176044,0.177189319512266,-0.113111851239118,0.32781773084423,0.247671458462376,0.352769810662705,2.42209399806537,0.244105406537969,-0.0796594404615063,-0.0155716121413034,0.0069946831048073,0.0142883246325885,0.010167483455177,0.499230857549082,0.121280766289112,0.25437387242378,0.460937186169392,0.0495759603221282,0.215623676734823,0.0420007160642603,0.130924608939924,0.0470697180207321,0.337994576575888,0.0441046082802278,0.257226170780871,0.0470972522059637,0.105109352035409,0.474448039586392,0.807697819444778,0.124474354221593,0.182708042558791,0.222774084751288,0.377502298248109,0.14258847670713,0.3,1.36911106022479,2.1028517207912,1.08761201971486,1.73986281471901,1.37409124799045,2.7422229449498,3.86821051316515,4.01029428017411,2.90014262345436,2.76117874207731,5.43375972849076,2.37512112000755,4.327401849275,3.32018043089372,2.9545568574601,2.39183476609009,4.21401362617192,1.04097114273174,1.08032818657755,0.732135865932548,1.07245999000702,1.13812667381738,0.707410965903381,0.708549037321204,0.36620760658493,0.818697737675755,0.969823288239247,0.841307823745707,0.656531701020492
10,0.178233274020918,1999.99999999998,1000,0.302375,10.8616210416667,-20.0566766028204,2,0.604769047645556,-0.204015409668219,-0.309116818886688,-0.256834585182744,0.849279641924618,0.0328153385194078,0.0348874901173739,0.679902381847731,0.31116002406133,0.185034289061781,0.345973038149165,0.019707847833233,-0.00910973068482682,0.491747123339069,0.635496427269297,0.632575877289201,0.203076189376635,-0.113025022230264,0.329997710988748,0.241193384927583,0.347823834589403,2.40728952716018,0.213950552403521,-0.0786503747200722,-0.0157926578010843,0.00629373839964614,0.014387021142805,0.0115930522644552,0.507057855646889,0.119840138963658,0.249799348015908,0.446127845818506,0.0512516278459032,0.209016415324973,0.0422308213541891,0.127994115228309,0.0496882684163272,0.32292549094926,0.0445288335588577,0.261945761506116,0.0455588963399422,0.107853577275927,0.458215888995748,0.77536240278002,0.115365473043365,0.179126838297061,0.220782628995194,0.377183881232694,0.135059158609338,0.3,1.37945837848577,1.98602582044952,1.10927979424149,1.79745517900575,1.36270152901302,2.86921988162357,3.93418208664878,4.18106165690851,3.18027376850973,2.57433487817476,5.36479073888247,2.29095564809798,4.46562833824265,3.360089717522,2.89175464420871,2.58389758905188,4.2162569703002,1.07045681654912,1.08628547297164,0.672147122928372,1.08727001861291,1.18560943261568,0.694988679719066,0.769168755877981,0.396922385618483,0.826273836387776,0.966663456526251,0.820248255788799,0.637414308757588
